uid,name,artist,city,ranking
0,Look Back At It,A Boogie Wit Da Hoodie,santa barbara,1
1,Wow.,Post Malone,santa barbara,2
2,a Lot,21 Savage,santa barbara,3
3,Talk,Khalid & Disclosure,santa barbara,4
4,You Say,Lauren Daigle,santa barbara,5
5,Going Bad,Meek Mill Feat. Drake,santa barbara,6
6,Without Me,Halsey,santa barbara,7
7,Better,Khalid,santa barbara,8
8,7 Rings,Ariana Grande,santa barbara,9
9,Ex,Kiana Ledé,santa barbara,10
10,Project Dreams,Marshmello & Roddy Ricch,santa barbara,11
11,Dancing With A Stranger,Sam Smith & Normani,santa barbara,12
12,"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,santa barbara,13
13,Rainbow,Kacey Musgraves,santa barbara,14
14,Pure Water,Mustard & Migos,santa barbara,15
15,Lost In The Fire,Gesaffelstein & The Weeknd,santa barbara,16
16,Shallow,Lady Gaga & Bradley Cooper,santa barbara,17
17,bury a friend,Billie Eilish,santa barbara,18
18,Nobody Knows,Jez Dior Feat. Jackson Guthy,santa barbara,19
19,La La Land,Bryce Vine Feat. YG,santa barbara,20
20,Sweet But Psycho,Ava Max,santa barbara,21
21,Please Me,Cardi B & Bruno Mars,santa barbara,22
22,Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,santa barbara,23
23,Good As You,Kane Brown,santa barbara,24
24,I've Been Waiting,Lil Peep & ILoveMakonnen Feat. Fall Out Boy,santa barbara,25
25,Ready To Let Go,Cage The Elephant,santa barbara,26
26,Be Alright,Dean Lewis,santa barbara,27
27,Shot Clock,Ella Mai,santa barbara,28
28,Yuso,"Lil Wayne, Kid Ink & Saweetie",santa barbara,29
29,Put A Date On It,Yo Gotti Feat. Lil Baby,santa barbara,30
30,Sucker,Jonas Brothers,santa barbara,31
31,MIA,Bad Bunny Feat. Drake,santa barbara,32
32,Drip Too Hard,Lil Baby & Gunna,santa barbara,33
33,Tetris,Derek King,santa barbara,34
34,Middle Child,J. Cole,santa barbara,35
35,High Hopes,Panic! At The Disco,santa barbara,36
36,Eastside,"Benny Blanco, Halsey & Khalid",santa barbara,37
37,Close To Me,Ellie Goulding & Diplo Feat. Swae Lee,santa barbara,38
38,My Year,GASHI & G-Eazy,santa barbara,39
39,Harmony Hall,Vampire Weekend,santa barbara,40
40,Happier,Marshmello & Bastille,santa barbara,41
